order_id,customer_name,email,region,category,order_date,quantity,unit_price,status,sales_rep,revenue,order_month,order_quarter
ORD-0001,Allison Hill,swall@example.org,North,Clothing,2024-01-01,17,270.85,Pending,Nicole Good,4604.45,2024-01,2024Q1
ORD-0002,Noah Rhodes,jeffery39@example.com,West,Electronics,2024-01-02,13,41.97,Pending,Nathan Coleman,545.61,2024-01,2024Q1
ORD-0003,Angie Henderson,courtneyberger@example.net,West,,2024-01-03,4,426.95,Completed,David Murray,1707.8,2024-01,2024Q1
ORD-0004,Daniel Wagner,parkerscott@example.net,South,Food,2024-01-04,10,495.12,Cancelled,,4951.2,2024-01,2024Q1
ORD-0005,Cristian Santos,jessica14@example.com,East,Clothing,2024-01-05,3,339.65,Completed,Colin Golden,1018.95,2024-01,2024Q1
ORD-0006,Connie Lawrence,ithompson@example.net,East,Clothing,2024-01-06,9,225.75,Pending,,2031.75,2024-01,2024Q1
ORD-0007,Abigail Shaffer,alyssa42@example.com,East,Food,2024-01-07,13,325.55,Cancelled,,4232.15,2024-01,2024Q1
ORD-0008,Gina Moore,scoffey@example.net,West,,2024-01-08,18,299.23,Cancelled,Amanda Keller,5386.14,2024-01,2024Q1
ORD-0009,Gabrielle Davis,linda71@example.org,West,Food,2024-01-09,15,194.89,Completed,Taylor Small,2923.35,2024-01,2024Q1
ORD-0010,Ryan Munoz,michelleramsey@example.com,West,Clothing,2024-01-10,4,37.48,Pending,Austin Wheeler,149.92,2024-01,2024Q1
ORD-0011,Monica Herrera,,North,Clothing,2024-01-11,15,411.65,Completed,Michael Brennan,6174.75,2024-01,2024Q1
ORD-0012,Jamie Arnold,christopher60@example.com,South,Clothing,2024-01-12,2,189.06,Pending,Andrew Gonzales,378.12,2024-01,2024Q1
ORD-0013,Lisa Hensley,gibsonemily@example.net,West,Electronics,2024-01-13,15,410.3,Pending,Nicole Parsons,6154.5,2024-01,2024Q1
ORD-0014,Michele Williams,brenda51@example.net,South,,2024-01-14,8,129.99,,Wyatt Young,1039.92,2024-01,2024Q1
ORD-0015,Dylan Miller,thomasharvey@example.net,South,Clothing,2024-01-15,8,5.51,Completed,Laura Ray,44.08,2024-01,2024Q1
ORD-0016,Brian Ramirez,rose31@example.net,East,Electronics,2024-01-16,17,83.67,Cancelled,Sabrina Young,1422.39,2024-01,2024Q1
ORD-0017,Holly Wood,tblankenship@example.net,North,Electronics,2024-01-17,12,236.93,Completed,Victoria Boyd,2843.16,2024-01,2024Q1
ORD-0018,Derek Zuniga,cwilson@example.org,West,Clothing,2024-01-18,19,472.43,Cancelled,,8976.17,2024-01,2024Q1
ORD-0019,Lisa Jackson,wendy11@example.org,East,Electronics,2024-01-19,9,55.59,Cancelled,Donald Hawkins,500.31,2024-01,2024Q1
